Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Owner,Seller Type,Engine,Drivetrain,Seating Capacity,Fuel Tank Capacity
Honda,Amaze 1.2 VX i-VTEC,7701.25,2017,87150,Petrol,Manual,Pune,First,Corporate,1198.0,FWD,5.0,35.0
Maruti Suzuki,Swift DZire VDI,6862.5,2014,75000,Diesel,Manual,Ludhiana,Second,Individual,1248.0,FWD,5.0,42.0
Hyundai,i10 Magna 1.2 Kappa2,3355.0,2011,67000,Petrol,Manual,Lucknow,First,Individual,1197.0,FWD,5.0,35.0
Toyota,Glanza G,12184.75,2019,37500,Petrol,Manual,Mangalore,First,Individual,1197.0,FWD,5.0,37.0
Maruti Suzuki,Ciaz ZXi,10293.75,2017,73315,Petrol,Manual,Pune,First,Individual,1373.0,FWD,5.0,43.0
Mercedes-Benz,CLA 200 Petrol Sport,28959.73475,2015,47000,Petrol,Automatic,Mumbai,Second,Individual,1991.0,FWD,5.0,50.0
BMW,X1 xDrive20d M Sport,40412.5,2017,75000,Diesel,Automatic,Coimbatore,Second,Individual,1995.0,AWD,5.0,51.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],21197.5,2017,56000,Petrol,Automatic,Mumbai,First,Individual,1798.0,FWD,5.0,50.0
Nissan,Terrano XL (D),8768.75,2015,85000,Diesel,Manual,Mumbai,First,Individual,1461.0,FWD,5.0,50.0
Hyundai,Elite i20 Sportz 1.2,9012.75,2017,20281,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,5.0,45.0
Renault,Kwid 1.0 RXT [2016-2019],7014.98475,2018,22541,Petrol,Manual,Bangalore,First,Individual,999.0,FWD,5.0,28.0
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],16393.75,2019,30672,Petrol,Automatic,Bangalore,First,Individual,1462.0,FWD,5.0,43.0
Tata,Harrier XZ [2019-2020],25848.75,2019,20856,Diesel,Manual,Bangalore,First,Individual,1956.0,FWD,5.0,50.0
Volkswagen,Polo GT TSI,14411.23475,2017,41417,Petrol,Automatic,Bangalore,First,Individual,1197.0,FWD,5.0,45.0
